#  i        E [GeV]   yield [GeV^-1 ann^-1]
   1   0.209426E-07   0.709870E+05
   2   0.229631E-07   0.665372E+05
   3   0.251785E-07   0.624314E+05
   4   0.276077E-07   0.585904E+05
   5   0.302712E-07   0.551081E+05
   6   0.331917E-07   0.516315E+05
   7   0.363940E-07   0.483228E+05
   8   0.399052E-07   0.452799E+05
   9   0.437552E-07   0.424507E+05
  10   0.479767E-07   0.397730E+05
  11   0.526054E-07   0.372097E+05
  12   0.576806E-07   0.349407E+05
  13   0.632456E-07   0.326514E+05
  14   0.693474E-07   0.304879E+05
  15   0.760379E-07   0.285660E+05
  16   0.833739E-07   0.267311E+05
  17   0.914176E-07   0.250001E+05
  18   0.100237E-06   0.232972E+05
  19   0.109908E-06   0.217047E+05
  20   0.120512E-06   0.202756E+05
  21   0.132139E-06   0.189239E+05
  22   0.144887E-06   0.177036E+05
  23   0.158866E-06   0.165471E+05
  24   0.174193E-06   0.154498E+05
  25   0.190999E-06   0.144175E+05
  26   0.209426E-06   0.134584E+05
  27   0.229631E-06   0.125780E+05
  28   0.251785E-06   0.117528E+05
  29   0.276077E-06   0.109766E+05
  30   0.302712E-06   0.102495E+05
  31   0.331917E-06   0.958527E+04
  32   0.363940E-06   0.899285E+04
  33   0.399052E-06   0.840602E+04
  34   0.437552E-06   0.785018E+04
  35   0.479767E-06   0.734561E+04
  36   0.526054E-06   0.685980E+04
  37   0.576806E-06   0.640500E+04
  38   0.632456E-06   0.598141E+04
  39   0.693474E-06   0.558832E+04
  40   0.760379E-06   0.522331E+04
  41   0.833739E-06   0.487978E+04
  42   0.914176E-06   0.454459E+04
  43   0.100237E-05   0.423657E+04
  44   0.109908E-05   0.395337E+04
  45   0.120512E-05   0.368989E+04
  46   0.132139E-05   0.344285E+04
  47   0.144887E-05   0.320689E+04
  48   0.158866E-05   0.298488E+04
  49   0.174193E-05   0.278007E+04
  50   0.190999E-05   0.259288E+04
  51   0.209426E-05   0.241617E+04
  52   0.229631E-05   0.224930E+04
  53   0.251785E-05   0.209435E+04
  54   0.276077E-05   0.195018E+04
  55   0.302712E-05   0.181585E+04
  56   0.331917E-05   0.169304E+04
  57   0.363940E-05   0.157479E+04
  58   0.399052E-05   0.146449E+04
  59   0.437552E-05   0.136334E+04
  60   0.479767E-05   0.127075E+04
  61   0.526054E-05   0.118196E+04
  62   0.576806E-05   0.110026E+04
  63   0.632456E-05   0.102336E+04
  64   0.693474E-05   0.952113E+03
  65   0.760379E-05   0.886889E+03
  66   0.833739E-05   0.825361E+03
  67   0.914176E-05   0.767869E+03
  68   0.100237E-04   0.714251E+03
  69   0.109908E-04   0.664141E+03
  70   0.120512E-04   0.617384E+03
  71   0.132139E-04   0.574668E+03
  72   0.144887E-04   0.534004E+03
  73   0.158866E-04   0.496194E+03
  74   0.174193E-04   0.460927E+03
  75   0.190999E-04   0.428005E+03
  76   0.209426E-04   0.398234E+03
  77   0.229631E-04   0.369734E+03
  78   0.251785E-04   0.343199E+03
  79   0.276077E-04   0.318387E+03
  80   0.302712E-04   0.295157E+03
  81   0.331917E-04   0.274152E+03
  82   0.363940E-04   0.254066E+03
  83   0.399052E-04   0.235525E+03
  84   0.437552E-04   0.218475E+03
  85   0.479767E-04   0.202705E+03
  86   0.526054E-04   0.187848E+03
  87   0.576806E-04   0.173788E+03
  88   0.632456E-04   0.161153E+03
  89   0.693474E-04   0.149341E+03
  90   0.760379E-04   0.137997E+03
  91   0.833739E-04   0.128030E+03
  92   0.914176E-04   0.118493E+03
  93   0.100237E-03   0.109610E+03
  94   0.109908E-03   0.101451E+03
  95   0.120512E-03   0.939672E+02
  96   0.132139E-03   0.868313E+02
  97   0.144887E-03   0.803965E+02
  98   0.158866E-03   0.744114E+02
  99   0.174193E-03   0.688417E+02
 100   0.190999E-03   0.636668E+02
 101   0.209426E-03   0.587825E+02
 102   0.229631E-03   0.543639E+02
 103   0.251785E-03   0.502792E+02
 104   0.276077E-03   0.464899E+02
 105   0.302712E-03   0.429825E+02
 106   0.331917E-03   0.397770E+02
 107   0.363940E-03   0.367615E+02
 108   0.399052E-03   0.339958E+02
 109   0.437552E-03   0.314543E+02
 110   0.479767E-03   0.291068E+02
 111   0.526054E-03   0.269513E+02
 112   0.576806E-03   0.249290E+02
 113   0.632456E-03   0.231088E+02
 114   0.693474E-03   0.214482E+02
 115   0.760379E-03   0.199127E+02
 116   0.833739E-03   0.185488E+02
 117   0.914176E-03   0.172947E+02
