#  i        E [GeV]   yield [GeV^-1 ann^-1]
   1   0.209426E-07   0.331798E+01
   2   0.229631E-07   0.387333E+01
   3   0.251785E-07   0.455364E+01
   4   0.276077E-07   0.463118E+01
   5   0.302712E-07   0.417778E+01
   6   0.331917E-07   0.581995E+01
   7   0.363940E-07   0.607158E+01
   8   0.399052E-07   0.531097E+01
   9   0.437552E-07   0.539950E+01
  10   0.479767E-07   0.690864E+01
  11   0.526054E-07   0.598374E+01
  12   0.576806E-07   0.811959E+01
  13   0.632456E-07   0.878950E+01
  14   0.693474E-07   0.894800E+01
  15   0.760379E-07   0.956800E+01
  16   0.833739E-07   0.919284E+01
  17   0.914176E-07   0.976737E+01
  18   0.100237E-06   0.967049E+01
  19   0.109908E-06   0.942021E+01
  20   0.120512E-06   0.961191E+01
  21   0.132139E-06   0.103227E+02
  22   0.144887E-06   0.118412E+02
  23   0.158866E-06   0.126189E+02
  24   0.174193E-06   0.127491E+02
  25   0.190999E-06   0.127261E+02
  26   0.209426E-06   0.136767E+02
  27   0.229631E-06   0.141286E+02
  28   0.251785E-06   0.144198E+02
  29   0.276077E-06   0.153962E+02
  30   0.302712E-06   0.171725E+02
  31   0.331917E-06   0.175206E+02
  32   0.363940E-06   0.190243E+02
  33   0.399052E-06   0.200250E+02
  34   0.437552E-06   0.203212E+02
  35   0.479767E-06   0.202596E+02
  36   0.526054E-06   0.213090E+02
  37   0.576806E-06   0.238889E+02
  38   0.632456E-06   0.248688E+02
  39   0.693474E-06   0.254522E+02
  40   0.760379E-06   0.267566E+02
  41   0.833739E-06   0.279961E+02
  42   0.914176E-06   0.292360E+02
  43   0.100237E-05   0.307133E+02
  44   0.109908E-05   0.323246E+02
  45   0.120512E-05   0.338326E+02
  46   0.132139E-05   0.347513E+02
  47   0.144887E-05   0.364281E+02
  48   0.158866E-05   0.381125E+02
  49   0.174193E-05   0.396109E+02
  50   0.190999E-05   0.410319E+02
  51   0.209426E-05   0.433780E+02
  52   0.229631E-05   0.458599E+02
  53   0.251785E-05   0.480698E+02
  54   0.276077E-05   0.502214E+02
  55   0.302712E-05   0.525636E+02
  56   0.331917E-05   0.555204E+02
  57   0.363940E-05   0.579643E+02
  58   0.399052E-05   0.605390E+02
  59   0.437552E-05   0.632672E+02
  60   0.479767E-05   0.660707E+02
  61   0.526054E-05   0.691633E+02
  62   0.576806E-05   0.723774E+02
  63   0.632456E-05   0.758726E+02
  64   0.693474E-05   0.793771E+02
  65   0.760379E-05   0.826978E+02
  66   0.833739E-05   0.863627E+02
  67   0.914176E-05   0.903876E+02
  68   0.100237E-04   0.945477E+02
  69   0.109908E-04   0.989486E+02
  70   0.120512E-04   0.103576E+03
  71   0.132139E-04   0.108346E+03
  72   0.144887E-04   0.113060E+03
  73   0.158866E-04   0.118343E+03
  74   0.174193E-04   0.123559E+03
  75   0.190999E-04   0.128375E+03
  76   0.209426E-04   0.134463E+03
  77   0.229631E-04   0.140823E+03
  78   0.251785E-04   0.147203E+03
  79   0.276077E-04   0.153513E+03
  80   0.302712E-04   0.159758E+03
  81   0.331917E-04   0.166844E+03
  82   0.363940E-04   0.173992E+03
  83   0.399052E-04   0.181406E+03
  84   0.437552E-04   0.188882E+03
  85   0.479767E-04   0.196206E+03
  86   0.526054E-04   0.204024E+03
  87   0.576806E-04   0.212293E+03
  88   0.632456E-04   0.220851E+03
  89   0.693474E-04   0.229435E+03
  90   0.760379E-04   0.237780E+03
  91   0.833739E-04   0.246426E+03
  92   0.914176E-04   0.255644E+03
  93   0.100237E-03   0.264465E+03
  94   0.109908E-03   0.273110E+03
  95   0.120512E-03   0.281687E+03
  96   0.132139E-03   0.290344E+03
  97   0.144887E-03   0.299292E+03
  98   0.158866E-03   0.307826E+03
  99   0.174193E-03   0.315836E+03
 100   0.190999E-03   0.323229E+03
 101   0.209426E-03   0.330499E+03
 102   0.229631E-03   0.337742E+03
 103   0.251785E-03   0.344151E+03
 104   0.276077E-03   0.349658E+03
 105   0.302712E-03   0.354189E+03
 106   0.331917E-03   0.357957E+03
 107   0.363940E-03   0.361151E+03
 108   0.399052E-03   0.363113E+03
 109   0.437552E-03   0.363841E+03
 110   0.479767E-03   0.363328E+03
 111   0.526054E-03   0.361620E+03
