#  i        E [GeV]   yield [GeV^-1 ann^-1]
   1   0.209426E-07   0.000000E+00
   2   0.229631E-07   0.000000E+00
   3   0.251785E-07   0.000000E+00
   4   0.276077E-07   0.000000E+00
   5   0.302712E-07   0.000000E+00
   6   0.331917E-07   0.000000E+00
   7   0.363940E-07   0.000000E+00
   8   0.399052E-07   0.000000E+00
   9   0.437552E-07   0.476426E-01
  10   0.479767E-07   0.130352E+00
  11   0.526054E-07   0.132091E-01
  12   0.576806E-07   0.000000E+00
  13   0.632456E-07   0.549344E-01
  14   0.693474E-07   0.701411E-01
  15   0.760379E-07   0.000000E+00
  16   0.833739E-07   0.000000E+00
  17   0.914176E-07   0.000000E+00
  18   0.100237E-06   0.000000E+00
  19   0.109908E-06   0.000000E+00
  20   0.120512E-06   0.576600E-02
  21   0.132139E-06   0.473279E-01
  22   0.144887E-06   0.143878E-01
  23   0.158866E-06   0.000000E+00
  24   0.174193E-06   0.000000E+00
  25   0.190999E-06   0.109143E-01
  26   0.209426E-06   0.895856E-01
  27   0.229631E-06   0.484166E-01
  28   0.251785E-06   0.275978E-01
  29   0.276077E-06   0.176186E-01
  30   0.302712E-06   0.229548E-02
  31   0.331917E-06   0.188416E-01
  32   0.363940E-06   0.458232E-01
  33   0.399052E-06   0.435326E-01
  34   0.437552E-06   0.317617E-01
  35   0.479767E-06   0.289671E-01
  36   0.526054E-06   0.264183E-01
  37   0.576806E-06   0.325266E-01
  38   0.632456E-06   0.384541E-01
  39   0.693474E-06   0.340685E-01
  40   0.760379E-06   0.173631E-01
  41   0.833739E-06   0.916784E-02
  42   0.914176E-06   0.288840E-01
  43   0.100237E-05   0.415935E-01
  44   0.109908E-05   0.404626E-01
  45   0.120512E-05   0.282534E-01
  46   0.132139E-05   0.215605E-01
  47   0.144887E-05   0.594697E-01
  48   0.158866E-05   0.481135E-01
  49   0.174193E-05   0.263280E-01
  50   0.190999E-05   0.291048E-01
  51   0.209426E-05   0.265439E-01
  52   0.229631E-05   0.284448E-01
  53   0.251785E-05   0.289777E-01
  54   0.276077E-05   0.284415E-01
  55   0.302712E-05   0.275458E-01
  56   0.331917E-05   0.251221E-01
  57   0.363940E-05   0.269211E-01
  58   0.399052E-05   0.304728E-01
  59   0.437552E-05   0.355731E-01
  60   0.479767E-05   0.393952E-01
  61   0.526054E-05   0.274750E-01
  62   0.576806E-05   0.274669E-01
  63   0.632456E-05   0.296646E-01
  64   0.693474E-05   0.279562E-01
  65   0.760379E-05   0.222065E-01
  66   0.833739E-05   0.289204E-01
  67   0.914176E-05   0.316204E-01
  68   0.100237E-04   0.315417E-01
  69   0.109908E-04   0.306631E-01
  70   0.120512E-04   0.309057E-01
  71   0.132139E-04   0.349174E-01
  72   0.144887E-04   0.326124E-01
  73   0.158866E-04   0.301803E-01
  74   0.174193E-04   0.323516E-01
  75   0.190999E-04   0.390004E-01
  76   0.209426E-04   0.360997E-01
  77   0.229631E-04   0.410331E-01
  78   0.251785E-04   0.379470E-01
  79   0.276077E-04   0.341802E-01
  80   0.302712E-04   0.358555E-01
  81   0.331917E-04   0.363851E-01
  82   0.363940E-04   0.365440E-01
  83   0.399052E-04   0.396146E-01
  84   0.437552E-04   0.433389E-01
  85   0.479767E-04   0.452755E-01
  86   0.526054E-04   0.440392E-01
  87   0.576806E-04   0.456215E-01
  88   0.632456E-04   0.471886E-01
  89   0.693474E-04   0.495697E-01
  90   0.760379E-04   0.528844E-01
  91   0.833739E-04   0.533652E-01
  92   0.914176E-04   0.558526E-01
  93   0.100237E-03   0.563245E-01
  94   0.109908E-03   0.601123E-01
  95   0.120512E-03   0.686615E-01
  96   0.132139E-03   0.675842E-01
  97   0.144887E-03   0.771092E-01
  98   0.158866E-03   0.852702E-01
  99   0.174193E-03   0.926188E-01
 100   0.190999E-03   0.101532E+00
 101   0.209426E-03   0.115638E+00
 102   0.229631E-03   0.131115E+00
 103   0.251785E-03   0.151443E+00
 104   0.276077E-03   0.174797E+00
 105   0.302712E-03   0.200442E+00
 106   0.331917E-03   0.236399E+00
 107   0.363940E-03   0.279525E+00
 108   0.399052E-03   0.332154E+00
 109   0.437552E-03   0.390474E+00
 110   0.479767E-03   0.453518E+00
 111   0.526054E-03   0.538487E+00
 112   0.576806E-03   0.633538E+00
 113   0.632456E-03   0.751409E+00
 114   0.693474E-03   0.905629E+00
 115   0.760379E-03   0.110176E+01
 116   0.833739E-03   0.134509E+01
 117   0.914176E-03   0.161440E+01
 118   0.100237E-02   0.189417E+01
 119   0.109908E-02   0.218726E+01
 120   0.120512E-02   0.249555E+01
 121   0.132139E-02   0.283328E+01
 122   0.144887E-02   0.320308E+01
 123   0.158866E-02   0.359849E+01
 124   0.174193E-02   0.401811E+01
 125   0.190999E-02   0.445757E+01
 126   0.209426E-02   0.493504E+01
 127   0.229631E-02   0.547754E+01
 128   0.251785E-02   0.605301E+01
 129   0.276077E-02   0.666114E+01
 130   0.302712E-02   0.730084E+01
 131   0.331917E-02   0.800706E+01
 132   0.363940E-02   0.879572E+01
 133   0.399052E-02   0.962803E+01
 134   0.437552E-02   0.105006E+02
 135   0.479767E-02   0.114119E+02
 136   0.526054E-02   0.124290E+02
 137   0.576806E-02   0.135437E+02
 138   0.632456E-02   0.147065E+02
 139   0.693474E-02   0.159192E+02
 140   0.760379E-02   0.171772E+02
 141   0.833739E-02   0.185361E+02
 142   0.914176E-02   0.200153E+02
 143   0.100237E-01   0.215281E+02
 144   0.109908E-01   0.230669E+02
 145   0.120512E-01   0.246217E+02
 146   0.132139E-01   0.262626E+02
 147   0.144887E-01   0.279839E+02
 148   0.158866E-01   0.296914E+02
 149   0.174193E-01   0.313673E+02
 150   0.190999E-01   0.329963E+02
 151   0.209426E-01   0.346607E+02
 152   0.229631E-01   0.363339E+02
 153   0.251785E-01   0.379207E+02
 154   0.276077E-01   0.394024E+02
 155   0.302712E-01   0.407629E+02
 156   0.331917E-01   0.420685E+02
 157   0.363940E-01   0.433069E+02
 158   0.399052E-01   0.443759E+02
 159   0.437552E-01   0.452761E+02
 160   0.479767E-01   0.460077E+02
 161   0.526054E-01   0.466028E+02
 162   0.576806E-01   0.470561E+02
 163   0.632456E-01   0.473108E+02
 164   0.693474E-01   0.473694E+02
 165   0.760379E-01   0.472371E+02
 166   0.833739E-01   0.469435E+02
 167   0.914176E-01   0.464859E+02
 168   0.100237E+00   0.458437E+02
 169   0.109908E+00   0.450345E+02
 170   0.120512E+00   0.440757E+02
 171   0.132139E+00   0.429835E+02
 172   0.144887E+00   0.417625E+02
 173   0.158866E+00   0.404264E+02
 174   0.174193E+00   0.389932E+02
 175   0.190999E+00   0.374803E+02
 176   0.209426E+00   0.358995E+02
 177   0.229631E+00   0.342619E+02
 178   0.251785E+00   0.325913E+02
 179   0.276077E+00   0.309028E+02
 180   0.302712E+00   0.292107E+02
 181   0.331917E+00   0.275243E+02
 182   0.363940E+00   0.258521E+02
 183   0.399052E+00   0.242137E+02
 184   0.437552E+00   0.226193E+02
 185   0.479767E+00   0.210774E+02
 186   0.526054E+00   0.195882E+02
 187   0.576806E+00   0.181582E+02
 188   0.632456E+00   0.167984E+02
 189   0.693474E+00   0.155102E+02
 190   0.760379E+00   0.142940E+02
 191   0.833739E+00   0.131465E+02
 192   0.914176E+00   0.120671E+02
 193   0.100237E+01   0.110575E+02
 194   0.109908E+01   0.101145E+02
 195   0.120512E+01   0.923485E+01
 196   0.132139E+01   0.841303E+01
 197   0.144887E+01   0.764339E+01
 198   0.158866E+01   0.692452E+01
 199   0.174193E+01   0.625248E+01
 200   0.190999E+01   0.562332E+01
 201   0.209426E+01   0.502703E+01
 202   0.229631E+01   0.445849E+01
 203   0.251785E+01   0.392473E+01
 204   0.276077E+01   0.343296E+01
 205   0.302712E+01   0.299093E+01
 206   0.331917E+01   0.261176E+01
 207   0.363940E+01   0.228441E+01
 208   0.399052E+01   0.199130E+01
 209   0.437552E+01   0.172759E+01
 210   0.479767E+01   0.149110E+01
 211   0.526054E+01   0.127980E+01
 212   0.576806E+01   0.109249E+01
 213   0.632456E+01   0.927551E+00
 214   0.693474E+01   0.783003E+00
 215   0.760379E+01   0.656974E+00
