#  i        E [GeV]   yield [GeV^-1 ann^-1]
   1   0.209426E-07   0.000000E+00
   2   0.229631E-07   0.000000E+00
   3   0.251785E-07   0.000000E+00
   4   0.276077E-07   0.000000E+00
   5   0.302712E-07   0.000000E+00
   6   0.331917E-07   0.000000E+00
   7   0.363940E-07   0.000000E+00
   8   0.399052E-07   0.000000E+00
   9   0.437552E-07   0.000000E+00
  10   0.479767E-07   0.000000E+00
  11   0.526054E-07   0.000000E+00
  12   0.576806E-07   0.000000E+00
  13   0.632456E-07   0.000000E+00
  14   0.693474E-07   0.000000E+00
  15   0.760379E-07   0.000000E+00
  16   0.833739E-07   0.000000E+00
  17   0.914176E-07   0.000000E+00
  18   0.100237E-06   0.000000E+00
  19   0.109908E-06   0.000000E+00
  20   0.120512E-06   0.000000E+00
  21   0.132139E-06   0.000000E+00
  22   0.144887E-06   0.000000E+00
  23   0.158866E-06   0.000000E+00
  24   0.174193E-06   0.000000E+00
  25   0.190999E-06   0.000000E+00
  26   0.209426E-06   0.000000E+00
  27   0.229631E-06   0.000000E+00
  28   0.251785E-06   0.000000E+00
  29   0.276077E-06   0.000000E+00
  30   0.302712E-06   0.000000E+00
  31   0.331917E-06   0.000000E+00
  32   0.363940E-06   0.000000E+00
  33   0.399052E-06   0.000000E+00
  34   0.437552E-06   0.000000E+00
  35   0.479767E-06   0.000000E+00
  36   0.526054E-06   0.000000E+00
  37   0.576806E-06   0.000000E+00
  38   0.632456E-06   0.000000E+00
  39   0.693474E-06   0.000000E+00
  40   0.760379E-06   0.000000E+00
  41   0.833739E-06   0.000000E+00
  42   0.914176E-06   0.000000E+00
  43   0.100237E-05   0.000000E+00
  44   0.109908E-05   0.189669E-02
  45   0.120512E-05   0.518940E-02
  46   0.132139E-05   0.525865E-03
  47   0.144887E-05   0.000000E+00
  48   0.158866E-05   0.000000E+00
  49   0.174193E-05   0.000000E+00
  50   0.190999E-05   0.000000E+00
  51   0.209426E-05   0.000000E+00
  52   0.229631E-05   0.211823E-02
  53   0.251785E-05   0.275978E-02
  54   0.276077E-05   0.251695E-02
  55   0.302712E-05   0.229548E-02
  56   0.331917E-05   0.209351E-02
  57   0.363940E-05   0.190930E-02
  58   0.399052E-05   0.870651E-03
  59   0.437552E-05   0.285856E-02
  60   0.479767E-05   0.796594E-02
  61   0.526054E-05   0.198137E-02
  62   0.576806E-05   0.457781E-02
  63   0.632456E-05   0.714147E-02
  64   0.693474E-05   0.861733E-02
  65   0.760379E-05   0.895572E-02
  66   0.833739E-05   0.683421E-02
  67   0.914176E-05   0.501670E-02
  68   0.100237E-04   0.381274E-02
  69   0.109908E-04   0.486816E-02
  70   0.120512E-04   0.784175E-02
  71   0.132139E-04   0.546900E-02
  72   0.144887E-04   0.848882E-02
  73   0.158866E-04   0.852921E-02
  74   0.174193E-04   0.789841E-02
  75   0.190999E-04   0.891334E-02
  76   0.209426E-04   0.945625E-02
  77   0.229631E-04   0.750457E-02
  78   0.251785E-04   0.883129E-02
  79   0.276077E-04   0.102440E-01
  80   0.302712E-04   0.968694E-02
  81   0.331917E-04   0.125192E-01
  82   0.363940E-04   0.114367E-01
  83   0.399052E-04   0.104478E-01
  84   0.437552E-04   0.110690E-01
  85   0.479767E-04   0.132235E-01
  86   0.526054E-04   0.134337E-01
  87   0.576806E-04   0.128299E-01
  88   0.632456E-04   0.119208E-01
  89   0.693474E-04   0.128458E-01
  90   0.760379E-04   0.162756E-01
  91   0.833739E-04   0.182440E-01
  92   0.914176E-04   0.169732E-01
  93   0.100237E-03   0.174000E-01
  94   0.109908E-03   0.184927E-01
  95   0.120512E-03   0.189009E-01
  96   0.132139E-03   0.188365E-01
  97   0.144887E-03   0.203156E-01
  98   0.158866E-03   0.221103E-01
  99   0.174193E-03   0.231687E-01
 100   0.190999E-03   0.234330E-01
 101   0.209426E-03   0.259101E-01
 102   0.229631E-03   0.273887E-01
 103   0.251785E-03   0.280118E-01
 104   0.276077E-03   0.290305E-01
 105   0.302712E-03   0.307916E-01
 106   0.331917E-03   0.304940E-01
 107   0.363940E-03   0.331779E-01
 108   0.399052E-03   0.353397E-01
 109   0.437552E-03   0.369929E-01
 110   0.479767E-03   0.386276E-01
 111   0.526054E-03   0.407238E-01
 112   0.576806E-03   0.419834E-01
 113   0.632456E-03   0.436838E-01
 114   0.693474E-03   0.458602E-01
 115   0.760379E-03   0.483499E-01
 116   0.833739E-03   0.512832E-01
 117   0.914176E-03   0.525598E-01
 118   0.100237E-02   0.549104E-01
 119   0.109908E-02   0.578325E-01
 120   0.120512E-02   0.605545E-01
 121   0.132139E-02   0.630933E-01
 122   0.144887E-02   0.666636E-01
 123   0.158866E-02   0.696443E-01
 124   0.174193E-02   0.723777E-01
 125   0.190999E-02   0.754512E-01
 126   0.209426E-02   0.798599E-01
 127   0.229631E-02   0.831649E-01
 128   0.251785E-02   0.873622E-01
 129   0.276077E-02   0.918125E-01
 130   0.302712E-02   0.958932E-01
 131   0.331917E-02   0.100564E+00
 132   0.363940E-02   0.104791E+00
 133   0.399052E-02   0.109383E+00
 134   0.437552E-02   0.114579E+00
 135   0.479767E-02   0.120155E+00
 136   0.526054E-02   0.125211E+00
 137   0.576806E-02   0.131371E+00
 138   0.632456E-02   0.137882E+00
 139   0.693474E-02   0.144131E+00
 140   0.760379E-02   0.150052E+00
 141   0.833739E-02   0.157852E+00
 142   0.914176E-02   0.165402E+00
 143   0.100237E-01   0.172810E+00
 144   0.109908E-01   0.180451E+00
 145   0.120512E-01   0.188463E+00
 146   0.132139E-01   0.197031E+00
 147   0.144887E-01   0.205938E+00
 148   0.158866E-01   0.215066E+00
 149   0.174193E-01   0.224571E+00
 150   0.190999E-01   0.234425E+00
 151   0.209426E-01   0.244916E+00
 152   0.229631E-01   0.256126E+00
 153   0.251785E-01   0.267402E+00
 154   0.276077E-01   0.278790E+00
 155   0.302712E-01   0.290315E+00
 156   0.331917E-01   0.302819E+00
 157   0.363940E-01   0.316224E+00
 158   0.399052E-01   0.329513E+00
 159   0.437552E-01   0.342833E+00
 160   0.479767E-01   0.356263E+00
 161   0.526054E-01   0.370563E+00
 162   0.576806E-01   0.385812E+00
 163   0.632456E-01   0.400920E+00
 164   0.693474E-01   0.415835E+00
 165   0.760379E-01   0.430589E+00
 166   0.833739E-01   0.446600E+00
 167   0.914176E-01   0.462549E+00
 168   0.100237E+00   0.478393E+00
 169   0.109908E+00   0.494019E+00
 170   0.120512E+00   0.509142E+00
 171   0.132139E+00   0.524572E+00
 172   0.144887E+00   0.540486E+00
 173   0.158866E+00   0.555519E+00
 174   0.174193E+00   0.569650E+00
 175   0.190999E+00   0.582837E+00
 176   0.209426E+00   0.595889E+00
 177   0.229631E+00   0.608614E+00
 178   0.251785E+00   0.619838E+00
 179   0.276077E+00   0.629414E+00
 180   0.302712E+00   0.637254E+00
 181   0.331917E+00   0.644186E+00
 182   0.363940E+00   0.649915E+00
 183   0.399052E+00   0.653471E+00
 184   0.437552E+00   0.654860E+00
 185   0.479767E+00   0.654104E+00
 186   0.526054E+00   0.651561E+00
 187   0.576806E+00   0.646849E+00
 188   0.632456E+00   0.639907E+00
 189   0.693474E+00   0.630571E+00
 190   0.760379E+00   0.618763E+00
 191   0.833739E+00   0.604865E+00
 192   0.914176E+00   0.588970E+00
 193   0.100237E+01   0.571047E+00
 194   0.109908E+01   0.551289E+00
 195   0.120512E+01   0.529931E+00
 196   0.132139E+01   0.507032E+00
 197   0.144887E+01   0.482964E+00
 198   0.158866E+01   0.458046E+00
 199   0.174193E+01   0.432539E+00
 200   0.190999E+01   0.406704E+00
 201   0.209426E+01   0.380536E+00
 202   0.229631E+01   0.354351E+00
 203   0.251785E+01   0.328563E+00
 204   0.276077E+01   0.303353E+00
 205   0.302712E+01   0.278868E+00
 206   0.331917E+01   0.254990E+00
 207   0.363940E+01   0.231972E+00
 208   0.399052E+01   0.210029E+00
 209   0.437552E+01   0.189223E+00
 210   0.479767E+01   0.169609E+00
 211   0.526054E+01   0.151114E+00
 212   0.576806E+01   0.133823E+00
 213   0.632456E+01   0.117791E+00
 214   0.693474E+01   0.103035E+00
 215   0.760379E+01   0.895632E-01
