#  i        E [GeV]   yield [GeV^-1 ann^-1]
   1   0.209426E-07   0.000000E+00
   2   0.229631E-07   0.000000E+00
   3   0.251785E-07   0.000000E+00
   4   0.276077E-07   0.000000E+00
   5   0.302712E-07   0.000000E+00
   6   0.331917E-07   0.000000E+00
   7   0.363940E-07   0.000000E+00
   8   0.399052E-07   0.000000E+00
   9   0.437552E-07   0.000000E+00
  10   0.479767E-07   0.000000E+00
  11   0.526054E-07   0.000000E+00
  12   0.576806E-07   0.000000E+00
  13   0.632456E-07   0.000000E+00
  14   0.693474E-07   0.000000E+00
  15   0.760379E-07   0.000000E+00
  16   0.833739E-07   0.000000E+00
  17   0.914176E-07   0.000000E+00
  18   0.100237E-06   0.000000E+00
  19   0.109908E-06   0.000000E+00
  20   0.120512E-06   0.000000E+00
  21   0.132139E-06   0.000000E+00
  22   0.144887E-06   0.000000E+00
  23   0.158866E-06   0.000000E+00
  24   0.174193E-06   0.000000E+00
  25   0.190999E-06   0.000000E+00
  26   0.209426E-06   0.000000E+00
  27   0.229631E-06   0.000000E+00
  28   0.251785E-06   0.000000E+00
  29   0.276077E-06   0.000000E+00
  30   0.302712E-06   0.000000E+00
  31   0.331917E-06   0.000000E+00
  32   0.363940E-06   0.000000E+00
  33   0.399052E-06   0.000000E+00
  34   0.437552E-06   0.000000E+00
  35   0.479767E-06   0.000000E+00
  36   0.526054E-06   0.000000E+00
  37   0.576806E-06   0.000000E+00
  38   0.632456E-06   0.000000E+00
  39   0.693474E-06   0.000000E+00
  40   0.760379E-06   0.000000E+00
  41   0.833739E-06   0.000000E+00
  42   0.914176E-06   0.000000E+00
  43   0.100237E-05   0.000000E+00
  44   0.109908E-05   0.000000E+00
  45   0.120512E-05   0.000000E+00
  46   0.132139E-05   0.000000E+00
  47   0.144887E-05   0.000000E+00
  48   0.158866E-05   0.000000E+00
  49   0.174193E-05   0.000000E+00
  50   0.190999E-05   0.000000E+00
  51   0.209426E-05   0.000000E+00
  52   0.229631E-05   0.000000E+00
  53   0.251785E-05   0.137989E-02
  54   0.276077E-05   0.176186E-02
  55   0.302712E-05   0.000000E+00
  56   0.331917E-05   0.000000E+00
  57   0.363940E-05   0.000000E+00
  58   0.399052E-05   0.870651E-03
  59   0.437552E-05   0.111166E-02
  60   0.479767E-05   0.144835E-03
  61   0.526054E-05   0.118882E-02
  62   0.576806E-05   0.204797E-02
  63   0.632456E-05   0.274672E-02
  64   0.693474E-05   0.240484E-02
  65   0.760379E-05   0.127939E-02
  66   0.833739E-05   0.383382E-02
  67   0.914176E-05   0.326846E-02
  68   0.100237E-04   0.415935E-02
  69   0.109908E-04   0.505783E-02
  70   0.120512E-04   0.513174E-02
  71   0.132139E-04   0.846643E-02
  72   0.144887E-04   0.101674E-01
  73   0.158866E-04   0.126845E-01
  74   0.174193E-04   0.138422E-01
  75   0.190999E-04   0.136429E-01
  76   0.209426E-04   0.217328E-01
  77   0.229631E-04   0.234215E-01
  78   0.251785E-04   0.271838E-01
  79   0.276077E-04   0.312353E-01
  80   0.302712E-04   0.347536E-01
  81   0.331917E-04   0.457641E-01
  82   0.363940E-04   0.482862E-01
  83   0.399052E-04   0.548510E-01
  84   0.437552E-04   0.634123E-01
  85   0.479767E-04   0.715921E-01
  86   0.526054E-04   0.835742E-01
  87   0.576806E-04   0.918815E-01
  88   0.632456E-04   0.101793E+00
  89   0.693474E-04   0.109791E+00
  90   0.760379E-04   0.114862E+00
  91   0.833739E-04   0.128691E+00
  92   0.914176E-04   0.140582E+00
  93   0.100237E-03   0.151296E+00
  94   0.109908E-03   0.159777E+00
  95   0.120512E-03   0.166545E+00
  96   0.132139E-03   0.178983E+00
  97   0.144887E-03   0.192979E+00
  98   0.158866E-03   0.202930E+00
  99   0.174193E-03   0.211310E+00
 100   0.190999E-03   0.220440E+00
 101   0.209426E-03   0.229764E+00
 102   0.229631E-03   0.238642E+00
 103   0.251785E-03   0.248960E+00
 104   0.276077E-03   0.259940E+00
 105   0.302712E-03   0.270041E+00
 106   0.331917E-03   0.276762E+00
 107   0.363940E-03   0.285876E+00
 108   0.399052E-03   0.292373E+00
 109   0.437552E-03   0.299697E+00
 110   0.479767E-03   0.309315E+00
 111   0.526054E-03   0.313726E+00
 112   0.576806E-03   0.322118E+00
 113   0.632456E-03   0.329024E+00
 114   0.693474E-03   0.335095E+00
 115   0.760379E-03   0.340700E+00
 116   0.833739E-03   0.342853E+00
 117   0.914176E-03   0.348555E+00
 118   0.100237E-02   0.349867E+00
 119   0.109908E-02   0.351461E+00
 120   0.120512E-02   0.356452E+00
 121   0.132139E-02   0.359021E+00
 122   0.144887E-02   0.361164E+00
 123   0.158866E-02   0.363091E+00
 124   0.174193E-02   0.363807E+00
 125   0.190999E-02   0.363332E+00
 126   0.209426E-02   0.366257E+00
 127   0.229631E-02   0.365386E+00
 128   0.251785E-02   0.365448E+00
 129   0.276077E-02   0.365591E+00
 130   0.302712E-02   0.364932E+00
 131   0.331917E-02   0.365852E+00
 132   0.363940E-02   0.367952E+00
 133   0.399052E-02   0.368910E+00
 134   0.437552E-02   0.368288E+00
 135   0.479767E-02   0.366585E+00
 136   0.526054E-02   0.367087E+00
 137   0.576806E-02   0.368011E+00
 138   0.632456E-02   0.368158E+00
 139   0.693474E-02   0.368312E+00
 140   0.760379E-02   0.368918E+00
 141   0.833739E-02   0.369358E+00
 142   0.914176E-02   0.369364E+00
 143   0.100237E-01   0.369374E+00
 144   0.109908E-01   0.369284E+00
 145   0.120512E-01   0.369004E+00
 146   0.132139E-01   0.369551E+00
 147   0.144887E-01   0.370355E+00
 148   0.158866E-01   0.370765E+00
 149   0.174193E-01   0.370488E+00
 150   0.190999E-01   0.369619E+00
 151   0.209426E-01   0.370023E+00
 152   0.229631E-01   0.370435E+00
 153   0.251785E-01   0.370333E+00
 154   0.276077E-01   0.369928E+00
 155   0.302712E-01   0.369477E+00
 156   0.331917E-01   0.369908E+00
 157   0.363940E-01   0.370033E+00
 158   0.399052E-01   0.369917E+00
 159   0.437552E-01   0.369755E+00
 160   0.479767E-01   0.369613E+00
 161   0.526054E-01   0.369934E+00
 162   0.576806E-01   0.369679E+00
 163   0.632456E-01   0.369590E+00
 164   0.693474E-01   0.369399E+00
 165   0.760379E-01   0.368879E+00
 166   0.833739E-01   0.369139E+00
 167   0.914176E-01   0.369068E+00
 168   0.100237E+00   0.369119E+00
 169   0.109908E+00   0.369055E+00
 170   0.120512E+00   0.368592E+00
 171   0.132139E+00   0.368252E+00
 172   0.144887E+00   0.368526E+00
 173   0.158866E+00   0.368449E+00
 174   0.174193E+00   0.368099E+00
 175   0.190999E+00   0.367571E+00
 176   0.209426E+00   0.367234E+00
 177   0.229631E+00   0.367321E+00
 178   0.251785E+00   0.367064E+00
 179   0.276077E+00   0.366522E+00
 180   0.302712E+00   0.365784E+00
 181   0.331917E+00   0.365370E+00
 182   0.363940E+00   0.365064E+00
 183   0.399052E+00   0.364494E+00
 184   0.437552E+00   0.363694E+00
 185   0.479767E+00   0.362642E+00
 186   0.526054E+00   0.361590E+00
 187   0.576806E+00   0.360507E+00
 188   0.632456E+00   0.359069E+00
 189   0.693474E+00   0.357211E+00
 190   0.760379E+00   0.354870E+00
 191   0.833739E+00   0.352382E+00
 192   0.914176E+00   0.349655E+00
 193   0.100237E+01   0.346342E+00
 194   0.109908E+01   0.342418E+00
 195   0.120512E+01   0.337866E+00
 196   0.132139E+01   0.332869E+00
 197   0.144887E+01   0.327426E+00
 198   0.158866E+01   0.321307E+00
 199   0.174193E+01   0.314619E+00
 200   0.190999E+01   0.307434E+00
 201   0.209426E+01   0.299771E+00
 202   0.229631E+01   0.291699E+00
 203   0.251785E+01   0.283221E+00
 204   0.276077E+01   0.274341E+00
 205   0.302712E+01   0.265090E+00
 206   0.331917E+01   0.255649E+00
 207   0.363940E+01   0.245938E+00
 208   0.399052E+01   0.236017E+00
 209   0.437552E+01   0.225945E+00
 210   0.479767E+01   0.215772E+00
 211   0.526054E+01   0.205521E+00
 212   0.576806E+01   0.195181E+00
 213   0.632456E+01   0.184797E+00
 214   0.693474E+01   0.174449E+00
 215   0.760379E+01   0.164194E+00
