#  i        E [GeV]   yield [GeV^-1 ann^-1]
   1   0.209426E-07   0.464518E+01
   2   0.229631E-07   0.508374E+01
   3   0.251785E-07   0.482961E+01
   4   0.276077E-07   0.450534E+01
   5   0.302712E-07   0.461392E+01
   6   0.331917E-07   0.437543E+01
   7   0.363940E-07   0.360858E+01
   8   0.399052E-07   0.304728E+01
   9   0.437552E-07   0.365260E+01
  10   0.479767E-07   0.531545E+01
  11   0.526054E-07   0.453073E+01
  12   0.576806E-07   0.375862E+01
  13   0.632456E-07   0.412008E+01
  14   0.693474E-07   0.492991E+01
  15   0.760379E-07   0.560189E+01
  16   0.833739E-07   0.664252E+01
  17   0.914176E-07   0.639249E+01
  18   0.100237E-06   0.630835E+01
  19   0.109908E-06   0.662576E+01
  20   0.120512E-06   0.727669E+01
  21   0.132139E-06   0.798263E+01
  22   0.144887E-06   0.783658E+01
  23   0.158866E-06   0.852921E+01
  24   0.174193E-06   0.899142E+01
  25   0.190999E-06   0.849496E+01
  26   0.209426E-06   0.841109E+01
  27   0.229631E-06   0.969542E+01
  28   0.251785E-06   0.108873E+02
  29   0.276077E-06   0.115075E+02
  30   0.302712E-06   0.114568E+02
  31   0.331917E-06   0.111354E+02
  32   0.363940E-06   0.118644E+02
  33   0.399052E-06   0.125287E+02
  34   0.437552E-06   0.130747E+02
  35   0.479767E-06   0.136290E+02
  36   0.526054E-06   0.144376E+02
  37   0.576806E-06   0.152429E+02
  38   0.632456E-06   0.160408E+02
  39   0.693474E-06   0.167697E+02
  40   0.760379E-06   0.174911E+02
  41   0.833739E-06   0.188191E+02
  42   0.914176E-06   0.192991E+02
  43   0.100237E-05   0.205680E+02
  44   0.109908E-05   0.217657E+02
  45   0.120512E-05   0.223069E+02
  46   0.132139E-05   0.235708E+02
  47   0.144887E-05   0.248425E+02
  48   0.158866E-05   0.253427E+02
  49   0.174193E-05   0.263153E+02
  50   0.190999E-05   0.283768E+02
  51   0.209426E-05   0.296465E+02
  52   0.229631E-05   0.313712E+02
  53   0.251785E-05   0.327503E+02
  54   0.276077E-05   0.340289E+02
  55   0.302712E-05   0.355297E+02
  56   0.331917E-05   0.376138E+02
  57   0.363940E-05   0.391483E+02
  58   0.399052E-05   0.408719E+02
  59   0.437552E-05   0.427265E+02
  60   0.479767E-05   0.445883E+02
  61   0.526054E-05   0.467042E+02
  62   0.576806E-05   0.488295E+02
  63   0.632456E-05   0.513005E+02
  64   0.693474E-05   0.537741E+02
  65   0.760379E-05   0.559798E+02
  66   0.833739E-05   0.583098E+02
  67   0.914176E-05   0.610616E+02
  68   0.100237E-04   0.639840E+02
  69   0.109908E-04   0.670018E+02
  70   0.120512E-04   0.700216E+02
  71   0.132139E-04   0.730519E+02
  72   0.144887E-04   0.766809E+02
  73   0.158866E-04   0.800169E+02
  74   0.174193E-04   0.835082E+02
  75   0.190999E-04   0.873776E+02
  76   0.209426E-04   0.909243E+02
  77   0.229631E-04   0.951433E+02
  78   0.251785E-04   0.992636E+02
  79   0.276077E-04   0.103487E+03
  80   0.302712E-04   0.107923E+03
  81   0.331917E-04   0.112389E+03
  82   0.363940E-04   0.117372E+03
  83   0.399052E-04   0.122494E+03
  84   0.437552E-04   0.127538E+03
  85   0.479767E-04   0.132402E+03
  86   0.526054E-04   0.137715E+03
  87   0.576806E-04   0.143484E+03
  88   0.632456E-04   0.149126E+03
  89   0.693474E-04   0.154773E+03
  90   0.760379E-04   0.160468E+03
  91   0.833739E-04   0.166218E+03
  92   0.914176E-04   0.172318E+03
  93   0.100237E-03   0.178300E+03
  94   0.109908E-03   0.184098E+03
  95   0.120512E-03   0.189660E+03
  96   0.132139E-03   0.195377E+03
  97   0.144887E-03   0.201291E+03
  98   0.158866E-03   0.206847E+03
  99   0.174193E-03   0.212007E+03
 100   0.190999E-03   0.216741E+03
 101   0.209426E-03   0.221323E+03
 102   0.229631E-03   0.225878E+03
 103   0.251785E-03   0.229688E+03
